Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,Area,Population,Population Density
New York,US,2020-03-22T22:13:32,15793,117,0,42.1657,-74.9481,54475,19576125.0,359.35979807251033
Washington,US,2020-03-22T23:13:22,1996,95,0,47.4009,-121.4905,71303,6895318.0,96.7044584379339
New Jersey,US,2020-03-22T19:43:03,1914,20,0,40.2989,-74.521,8722,8867749.0,1016.7105021783995
California,US,2020-03-22T22:13:28,1642,30,0,36.1162,-119.6816,163707,37999878.0,232.12127764848174
Illinois,US,2020-03-22T22:13:32,1049,9,0,40.3495,-88.9861,57918,12868192.0,222.17949514831312
Michigan,US,2020-03-22T21:13:20,1037,9,0,43.3266,-84.5361,96810,9882519.0,102.08159281066006
Louisiana,US,2020-03-22T17:43:06,837,20,0,31.1695,-91.8678,51843,4602134.0,88.77059583743225
Florida,US,2020-03-22T17:43:06,830,13,0,27.7663,-81.6868,65758,19320749.0,293.81594634873323
Massachusetts,US,2020-03-22T22:43:03,646,5,0,42.2302,-71.5301,10555,6645303.0,629.5881572714353
Texas,US,2020-03-22T22:43:03,627,6,0,31.0545,-97.5635,268601,26060796.0,97.02419574014989
Georgia,US,2020-03-22T17:43:06,600,23,0,33.0406,-83.6431,59441,9915646.0,166.81492572466817
Pennsylvania,US,2020-03-22T22:43:03,509,3,0,40.5908,-77.2098,46058,12764475.0,277.1391506361544
Tennessee,US,2020-03-22T22:43:03,505,2,0,35.7478,-86.6923,42146,6454914.0,153.15602904190197
Colorado,US,2020-03-22T17:43:06,476,6,0,39.0598,-105.3111,104100,5189458.0,49.85070124879923
Wisconsin,US,2020-03-22T20:43:03,381,4,0,44.2685,-89.6165,65503,5724554.0,87.39376822435614
Ohio,US,2020-03-22T22:43:03,355,3,0,40.3888,-82.7649,44828,11553031.0,257.7190818238601
North Carolina,US,2020-03-22T22:43:03,302,0,0,35.6301,-79.8064,53821,9748364.0,181.1256572713253
Maryland,US,2020-03-22T15:13:58,244,3,0,39.0639,-76.8021,12407,5884868.0,474.31836866285164
Connecticut,US,2020-03-22T15:13:58,223,5,0,41.5978,-72.7554,5544,3591765.0,647.8652597402597
Virginia,US,2020-03-22T22:43:03,221,6,0,37.7693,-78.17,42769,8186628.0,191.41499684350813
Mississippi,US,2020-03-22T17:43:06,207,1,0,32.7416,-89.6787,48434,2986450.0,61.66019738200438
Indiana,US,2020-03-22T20:43:03,201,6,0,39.8494,-86.2583,36420,6537782.0,179.51076331685886
South Carolina,US,2020-03-22T22:43:03,196,3,0,33.8569,-80.945,32007,4723417.0,147.57449932827194
Nevada,US,2020-03-22T19:43:03,190,2,0,38.3135,-117.0554,110567,2754354.0,24.911176029014083
Utah,US,2020-03-22T22:43:03,181,1,0,40.15,-111.8624,84904,2854871.0,33.62469377178932
Minnesota,US,2020-03-22T18:13:51,169,1,0,45.6945,-93.9002,86943,5379646.0,61.87555064812578
Arkansas,US,2020-03-22T19:43:03,165,0,0,34.9697,-92.3731,53182,2949828.0,55.466661652438795
Oregon,US,2020-03-22T20:43:03,161,4,0,44.572,-122.0709,98386,3899801.0,39.63776350293741
Arizona,US,2020-03-22T19:43:03,152,2,0,33.7298,-111.4312,114006,6551149.0,57.46319491956564
Alabama,US,2020-03-22T18:13:51,138,0,0,32.3182,-86.9023,52423,4817528.0,91.89722068557694
District of Columbia,US,2020-03-22T22:43:03,102,2,0,38.8974,-77.0268,68,633427.0,9315.10294117647
Missouri,US,2020-03-22T20:43:03,100,3,0,38.4561,-92.2884,69709,6024522.0,86.42387640046479
Kentucky,US,2020-03-22T18:13:51,99,3,0,37.6681,-84.6701,40411,4379730.0,108.37964910544159
Iowa,US,2020-03-22T19:43:03,90,0,0,42.0115,-93.2105,56276,3075039.0,54.6421032056294
Maine,US,2020-03-22T18:13:51,89,0,0,44.6939,-69.3819,35387,1328501.0,37.54206346963574
Rhode Island,US,2020-03-22T19:43:03,83,0,0,41.6809,-71.5118,1545,1050304.0,679.8084142394822
Oklahoma,US,2020-03-22T18:13:51,67,2,0,35.5653,-96.9289,69903,3815780.0,54.586784544297096
New Hampshire,US,2020-03-22T03:13:24,65,0,0,43.4525,-71.5639,9351,1321617.0,141.33429579724094
Kansas,US,2020-03-22T22:43:03,64,2,0,38.5266,-96.7265,82282,2885398.0,35.067183588148076
New Mexico,US,2020-03-22T03:13:24,57,0,0,34.8405,-106.2485,121593,2083540.0,17.13536141060752
Vermont,US,2020-03-22T20:13:40,52,2,0,44.0459,-72.7107,9615,625953.0,65.10171606864274
Nebraska,US,2020-03-22T20:13:40,51,0,0,41.1254,-98.2681,77358,1855350.0,23.983944776235166
Hawaii,US,2020-03-22T03:13:24,48,0,0,21.0943,-157.4983,10932,1390090.0,127.15788510793999
Delaware,US,2020-03-22T18:13:51,47,0,0,39.3185,-75.5071,1954,917053.0,469.32088024564996
Idaho,US,2020-03-22T03:13:24,42,0,0,44.2405,-114.4788,83574,1595590.0,19.09194247014622
Montana,US,2020-03-22T20:13:40,31,0,0,46.9219,-110.4544,147046,1005494.0,6.8379554697169596
North Dakota,US,2020-03-21T23:13:18,28,0,0,47.5289,-99.784,70704,701345.0,9.91945293052727
Wyoming,US,2020-03-22T18:13:55,24,0,0,42.756,-107.3025,97818,576626.0,5.894886421721973
Puerto Rico,US,2020-03-22T15:13:58,23,1,0,18.2208,-66.5901,3515,3651545.0,1038.846372688478
Alaska,US,2020-03-22T15:43:06,21,0,0,61.3707,-152.4044,656425,730307.0,1.1125520813497354
South Dakota,US,2020-03-22T20:13:40,21,1,0,44.2998,-99.4388,77121,834047.0,10.814784559328848
West Virginia,US,2020-03-22T03:13:24,12,0,0,38.4912,-80.9545,24231,1856680.0,76.62415913499237
