State,Confirmed,Deaths,Recovered,Latitude,Longitude,Population,Area,Population Density,Average Temperature,Average Precipitation
Washington,18,6,0,47.75,-120.74,6895318.0,71303,96.7044584379339,2.094482421875,81.0
California,21,0,0,36.78,-119.41,37999878.0,163707,232.12127764848174,12.7547607421875,71.0
Illinois,4,0,2,40.0,-89.0,12868192.0,57918,222.17949514831312,4.989013671875,83.0
Oregon,3,0,0,44.0,-120.5,3899801.0,98386,39.63776350293741,1.80377197265625,25.0
Rhode Island,2,0,0,41.7,-71.5,1050304.0,1545,679.8084142394822,3.405029296875,110.0
Massachusetts,1,0,1,42.41,-71.38,6645303.0,10555,629.5881572714353,1.9312744140625,102.0
New Hampshire,1,0,0,44.0,-71.5,1321617.0,9351,141.33429579724094,-2.30902099609375,101.0
Florida,2,0,0,27.99,-81.76,19320749.0,65758,293.81594634873323,19.344482421875,83.0
Wisconsin,1,0,0,44.5,-89.5,5724554.0,65503,87.39376822435614,-1.41400146484375,52.0
New York,1,0,0,43.0,-75.0,19576125.0,54475,359.35979807251033,-1.06976318359375,87.0
Texas,1,0,0,31.0,-100.0,26060796.0,268601,97.02419574014989,14.0474853515625,32.0
Arizona,1,0,1,34.0,-111.09,6551149.0,114006,57.46319491956564,7.09326171875,67.0
Nebraska,0,0,0,41.5,-100.0,1855350.0,77358,23.983944776235166,2.56475830078125,36.0
